16:22:36, Iteration_20190612_16_21_11,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.97 secs, TIME TO CONNECT: 6.15 secs, TIME TO PAIR: 3.2 secs, 
16:24:18, Iteration_20190612_16_22_41,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.04 secs, TIME TO CONNECT: 10.21 secs, TIME TO PAIR: 6.9 secs, 
16:27:00, Iteration_20190612_16_24_22,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 7.98 secs, TIME TO CONNECT: 9.3 secs, TIME TO PAIR: 65.4 secs, 
16:28:37, Iteration_20190612_16_27_05,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.52 secs, TIME TO CONNECT: 9.25 secs, TIME TO PAIR: 4.14 secs, 
16:30:19, Iteration_20190612_16_28_42,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.56 secs, TIME TO CONNECT: 11.77 secs, TIME TO PAIR: 4.39 secs, 
16:32:05, Iteration_20190612_16_30_24,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.93 secs, TIME TO CONNECT: 15.62 secs, TIME TO PAIR: 5.45 secs, 
16:33:50, Iteration_20190612_16_32_09,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.79 secs, TIME TO CONNECT: 13.56 secs, TIME TO PAIR: 5.48 secs, 
16:35:32, Iteration_20190612_16_33_55,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.32 secs, TIME TO CONNECT: 10.05 secs, TIME TO PAIR: 8.29 secs, 
16:37:18, Iteration_20190612_16_35_37,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 7.06 secs, TIME TO CONNECT: 14.67 secs, TIME TO PAIR: 4.26 secs, 
16:39:59, Iteration_20190612_16_37_23,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.23 secs, TIME TO CONNECT: 12.86 secs, TIME TO PAIR: 65.72 secs, 
16:41:52, Iteration_20190612_16_40_04,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.08 secs, TIME TO CONNECT: 21.88 secs, TIME TO PAIR: 7.84 secs, 
16:43:39, Iteration_20190612_16_41_57,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.52 secs, TIME TO CONNECT: 16.8 secs, TIME TO PAIR: 5.37 secs, 
16:45:13, Iteration_20190612_16_43_43,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.08 secs, TIME TO CONNECT: 9.61 secs, TIME TO PAIR: 4.58 secs, 
16:47:07, Iteration_20190612_16_45_18,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 22.68 secs, TIME TO CONNECT: 10.08 secs, TIME TO PAIR: 3.1 secs, 
16:49:04, Iteration_20190612_16_47_12,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 19.11 secs, TIME TO CONNECT: 10.74 secs, TIME TO PAIR: 4.01 secs, 
16:50:46, Iteration_20190612_16_49_09,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.47 secs, TIME TO CONNECT: 13.92 secs, TIME TO PAIR: 1.65 secs, 
